ID,is_lens,Einstein_area,numb_pix_lensed_image,flux_lensed_image_in_sigma
000000,0,nan,nan,nan
000001,0,nan,nan,nan
000002,0,nan,nan,nan
000003,0,nan,nan,nan
000004,0,nan,nan,nan
000005,0,nan,nan,nan
000006,0,nan,nan,nan
000007,0,nan,nan,nan
000008,0,nan,nan,nan
000009,0,nan,nan,nan
000010,0,nan,nan,nan
000011,0,nan,nan,nan
000012,0,nan,nan,nan
000013,0,nan,nan,nan
000014,0,nan,nan,nan
000015,0,nan,nan,nan
000016,0,nan,nan,nan
000017,0,nan,nan,nan
000018,0,nan,nan,nan
000019,0,nan,nan,nan
000020,0,nan,nan,nan
000021,0,nan,nan,nan
000022,0,nan,nan,nan
000023,0,nan,nan,nan
000024,0,nan,nan,nan
000025,0,nan,nan,nan
000026,0,nan,nan,nan
000027,0,nan,nan,nan
000028,0,nan,nan,nan
000029,0,nan,nan,nan
000030,0,nan,nan,nan
000031,0,nan,nan,nan
000032,0,nan,nan,nan
000033,0,nan,nan,nan
000034,0,nan,nan,nan
000035,0,nan,nan,nan
000036,0,nan,nan,nan
000037,0,nan,nan,nan
000038,0,nan,nan,nan
000039,0,nan,nan,nan
000040,0,nan,nan,nan
000041,0,nan,nan,nan
000042,0,nan,nan,nan
000043,0,nan,nan,nan
000044,0,nan,nan,nan
000045,0,nan,nan,nan
000046,0,nan,nan,nan
000047,0,nan,nan,nan
000048,0,nan,nan,nan
000049,0,nan,nan,nan
000050,0,nan,nan,nan
000051,0,nan,nan,nan
000052,0,nan,nan,nan
000053,0,nan,nan,nan
000054,0,nan,nan,nan
000055,0,nan,nan,nan
000056,0,nan,nan,nan
000057,0,nan,nan,nan
000058,0,nan,nan,nan
000059,0,nan,nan,nan
000060,0,nan,nan,nan
000061,0,nan,nan,nan
000062,0,nan,nan,nan
000063,0,nan,nan,nan
000064,0,nan,nan,nan
000065,0,nan,nan,nan
000066,0,nan,nan,nan
000067,0,nan,nan,nan
000068,0,nan,nan,nan
000069,0,nan,nan,nan
000070,0,nan,nan,nan
000071,0,nan,nan,nan
000072,0,nan,nan,nan
000073,0,nan,nan,nan
000074,0,nan,nan,nan
000075,0,nan,nan,nan
000076,0,nan,nan,nan
000077,0,nan,nan,nan
000078,0,nan,nan,nan
000079,0,nan,nan,nan
000080,0,nan,nan,nan
000081,0,nan,nan,nan
000082,0,nan,nan,nan
000083,0,nan,nan,nan
000084,0,nan,nan,nan
000085,0,nan,nan,nan
000086,0,nan,nan,nan
000087,0,nan,nan,nan
000088,0,nan,nan,nan
000089,0,nan,nan,nan
000090,0,nan,nan,nan
000091,0,nan,nan,nan
000092,0,nan,nan,nan
000093,0,nan,nan,nan
000094,0,nan,nan,nan
000095,0,nan,nan,nan
000096,0,nan,nan,nan
000097,0,nan,nan,nan
000098,0,nan,nan,nan
000099,0,nan,nan,nan
000100,0,nan,nan,nan
000101,0,nan,nan,nan
000102,0,nan,nan,nan
000103,0,nan,nan,nan
000104,0,nan,nan,nan
000105,0,nan,nan,nan
000106,0,nan,nan,nan
000107,0,nan,nan,nan
000108,0,nan,nan,nan
000109,0,nan,nan,nan
000110,0,nan,nan,nan
000111,0,nan,nan,nan
000112,0,nan,nan,nan
000113,0,nan,nan,nan
000114,0,nan,nan,nan
000115,0,nan,nan,nan
000116,0,nan,nan,nan
000117,0,nan,nan,nan
000118,0,nan,nan,nan
000119,0,nan,nan,nan
000120,0,nan,nan,nan
000121,0,nan,nan,nan
000122,0,nan,nan,nan
000123,0,nan,nan,nan
000124,0,nan,nan,nan
000125,0,nan,nan,nan
000126,0,nan,nan,nan
000127,0,nan,nan,nan
000128,0,nan,nan,nan
000129,0,nan,nan,nan
000130,0,nan,nan,nan
000131,0,nan,nan,nan
000132,0,nan,nan,nan
000133,0,nan,nan,nan
000134,0,nan,nan,nan
000135,0,nan,nan,nan
000136,0,nan,nan,nan
000137,0,nan,nan,nan
000138,0,nan,nan,nan
000139,0,nan,nan,nan
000140,0,nan,nan,nan
000141,0,nan,nan,nan
000142,0,nan,nan,nan
000143,0,nan,nan,nan
000144,0,nan,nan,nan
000145,0,nan,nan,nan
000146,0,nan,nan,nan
000147,0,nan,nan,nan
000148,0,nan,nan,nan
000149,0,nan,nan,nan
000150,0,nan,nan,nan
000151,0,nan,nan,nan
000152,0,nan,nan,nan
000153,0,nan,nan,nan
000154,0,nan,nan,nan
000155,0,nan,nan,nan
000156,0,nan,nan,nan
000157,0,nan,nan,nan
000158,0,nan,nan,nan
000159,0,nan,nan,nan
000160,0,nan,nan,nan
000161,0,nan,nan,nan
000162,0,nan,nan,nan
000163,0,nan,nan,nan
000164,0,nan,nan,nan
000165,0,nan,nan,nan
000166,0,nan,nan,nan
000167,0,nan,nan,nan
000168,0,nan,nan,nan
000169,0,nan,nan,nan
000170,0,nan,nan,nan
000171,0,nan,nan,nan
000172,0,nan,nan,nan
000173,0,nan,nan,nan
000174,0,nan,nan,nan
000175,0,nan,nan,nan
000176,0,nan,nan,nan
000177,0,nan,nan,nan
000178,0,nan,nan,nan
000179,0,nan,nan,nan
000180,0,nan,nan,nan
000181,0,nan,nan,nan
000182,0,nan,nan,nan
000183,0,nan,nan,nan
000184,0,nan,nan,nan
000185,0,nan,nan,nan
000186,0,nan,nan,nan
000187,0,nan,nan,nan
000188,0,nan,nan,nan
000189,0,nan,nan,nan
000190,0,nan,nan,nan
000191,0,nan,nan,nan
000192,0,nan,nan,nan
000193,0,nan,nan,nan
000194,0,nan,nan,nan
000195,0,nan,nan,nan
000196,0,nan,nan,nan
000197,0,nan,nan,nan
000198,0,nan,nan,nan
000199,0,nan,nan,nan
000200,0,nan,nan,nan
000201,0,nan,nan,nan
000202,0,nan,nan,nan
000203,0,nan,nan,nan
000204,0,nan,nan,nan
000205,0,nan,nan,nan
000206,0,nan,nan,nan
000207,0,nan,nan,nan
000208,0,nan,nan,nan
000209,0,nan,nan,nan
000210,0,nan,nan,nan
000211,0,nan,nan,nan
000212,0,nan,nan,nan
000213,0,nan,nan,nan
000214,0,nan,nan,nan
000215,0,nan,nan,nan
000216,0,nan,nan,nan
000217,0,nan,nan,nan
000218,0,nan,nan,nan
000219,0,nan,nan,nan
000220,0,nan,nan,nan
000221,0,nan,nan,nan
000222,0,nan,nan,nan
000223,0,nan,nan,nan
000224,0,nan,nan,nan
000225,0,nan,nan,nan
000226,0,nan,nan,nan
000227,0,nan,nan,nan
000228,0,nan,nan,nan
000229,0,nan,nan,nan
000230,0,nan,nan,nan
000231,0,nan,nan,nan
000232,0,nan,nan,nan
000233,0,nan,nan,nan
000234,0,nan,nan,nan
000235,0,nan,nan,nan
000236,0,nan,nan,nan
000237,0,nan,nan,nan
000238,0,nan,nan,nan
000239,0,nan,nan,nan
000240,0,nan,nan,nan
000241,0,nan,nan,nan
000242,0,nan,nan,nan
000243,0,nan,nan,nan
000244,0,nan,nan,nan
000245,0,nan,nan,nan
000246,0,nan,nan,nan
000247,0,nan,nan,nan
000248,0,nan,nan,nan
000249,0,nan,nan,nan
000250,0,nan,nan,nan
000251,0,nan,nan,nan
000252,0,nan,nan,nan
000253,0,nan,nan,nan
000254,0,nan,nan,nan
000255,0,nan,nan,nan
000256,0,nan,nan,nan
000257,0,nan,nan,nan
000258,0,nan,nan,nan
000259,0,nan,nan,nan
000260,0,nan,nan,nan
000261,0,nan,nan,nan
000262,0,nan,nan,nan
000263,0,nan,nan,nan
000264,0,nan,nan,nan
000265,0,nan,nan,nan
000266,0,nan,nan,nan
000267,0,nan,nan,nan
000268,0,nan,nan,nan
000269,0,nan,nan,nan
000270,0,nan,nan,nan
000271,0,nan,nan,nan
000272,0,nan,nan,nan
000273,0,nan,nan,nan
000274,0,nan,nan,nan
000275,0,nan,nan,nan
